Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4
All species,Philippines,27115260.82,30022421,27359329,28761206.75,28624541,31950402,28118956,31172427,33883554.93,36699989.84,32776736.06,35486096.46,35428524.87,38081304.52,35553265.39,37329854.05,39584513.19,42164091.64,40010458.19,41615320.53,43817870.25,47953046.47,43181113.4,45593098.06,49725280.59,55014119.78,50947602.08,60126500.22,53803324.98,57633184.01,49271507.85,54874051.47,53249581.14,59105913.94,51695731.79,56999622.64,52622968.1,61262790.01,51456750.26,59352570.52,54544261.66,62873694.88,54852983.07,65440534.38,59351285.51,64978873.44,56752620.35,63468895.77,57837262.4,63659486.19,55376858.2,65070242.93,54850932.61,64699500.69,57311489.41,62840450.86,51620906.17,60835025.08,55006773.93,61471391.34,56241960.69,63919470.07,57065976.41,66674479.59,58908021.64,68266708.96,64358367.78,73815585.95,63238699.89,75009987.01,63952541.37,79450426.32,62606536.56,73208373.19,63368522.39,74305026.39,66639511.5,..,..,..
All species,..National Capital Region (NCR),2216361,3470763,2414409,1946845,1911239,3304403,2151127,1955981,2239311.81,3560399,2404249.67,1980634.07,1854638.81,3073399.76,2024840.07,1218799.74,916204.13,1265889.4,1041599.45,978217.91,1074012.55,1540468.27,1252850.75,961095.02,999067.32,1420521.14,1167532.37,1157009.78,1154857.46,883026.41,982832.99,1096157.74,1266411.87,1541856.08,1612532.54,1231937.11,1160461.78,1843007.1,1397372.98,1194743.59,1471357.32,1827516.15,1389581.91,1571697.93,2015261.27,2560321.37,1966993.88,1463024.31,1776958.99,1679268.92,1247487.41,995593.68,1235065.8,1549252.88,1190980.36,861330.99,1113899.69,1800229.18,1352073.56,1002448.12,1051242.19,1662048.57,1011262.78,1455022.14,922400.85,1375482.55,1266807.46,2170911.27,1525260.58,1589615.03,1298282.57,1561333.87,1463486.13,2559003.07,1915254.42,785732.11,1298283.38,..,..,..
All species,..Cordillera Administrative Region (CAR),63463,43722,44465,64227,57735,37022,37804,63562,65589.94,42384.73,36466.68,71385.77,65217.65,43759.02,40597.12,72861.45,81726.62,58358.26,50419.42,79694.79,91680.43,67517.49,55854.89,93254.09,97172.08,73941.56,67900.47,100658.38,106642.18,81707.9,70987.81,104507.94,79230.74,69338.49,67213.05,95853.97,96815.46,79690.53,69714.54,90838.88,100373.17,83580.11,78793.95,98144.6,105625.68,86093.77,81640.12,103002.72,108709.02,89508.14,86559.71,108411.58,118859.13,90654.21,85695.36,106019.73,118107,97508.52,87568.2,121618.81,115317.99,97260.8,83450.63,124258.7,125505.99,107710.08,83820.65,119547.14,122034.7,86986.61,87662.69,129442.99,103288.36,94135.88,90383.9,115745.9,91462.67,..,..,..
All species,....Abra,8734,8100,6759,6934,8572,8106,6867,5745,9217.9,9049.4,6974.23,7356.27,9734.28,11827.77,7654.5,8977.41,11617.15,14591.48,9283.97,11369.48,15057.09,18591.77,12521.48,20408.6,17009.91,21270.57,18393.53,22450.96,17871.16,22534.71,20296.5,24812.32,18130.78,23808.57,19993.59,22901.07,17574.53,22905.33,19371.14,23280.24,19700.99,22537.66,21147.29,24156.46,19932.16,22898.83,19623.33,25284.06,20466.97,23222.1,20116.18,24164.45,21031.44,23159.77,22591.03,22959,20946.79,25418.9,17761.89,23536.8,19052.42,19889.77,16672.06,20305.03,20126.79,20031.61,15724.67,21965.14,18081.77,20126.69,17637.78,22066.13,18988.9,24803.84,20122.75,24671.65,13958.57,..,..,..
All species,....Apayao,3557,2260,3909,4349,3141,2915,4846,4420,3578.59,3408.65,2976,3771,4588.32,3131.87,4632.5,4790,9261.16,4858.3,5136.2,5221.39,11998.84,6264.05,6108.87,5066.89,10351.26,6528.59,7863.07,6089.29,11762.95,7093.57,7979.14,6306.11,12338.02,6233.87,7125.61,5853.53,13385.86,6695.98,7913.78,6524.27,12542.46,6509.14,8786.46,6959,14627.16,8185.63,10833.21,7709.23,14711.68,8744.02,11346.87,7743.99,13767.96,7460.98,11564.66,9258.67,12089.48,11901.8,11163.54,6872.15,6449.05,6749.28,9415.66,6638.42,4389.1,11388.16,9412.13,5862.86,4401.39,12186.64,14237.44,10874.85,9219.48,6306.49,11286.7,6363.74,645.9,..,..,..
All species,....Benguet,3920,5225,5494,5298,4550,5329,5616,5421,4253.32,5705.23,3836.84,5886.75,4872.61,5569.22,4605.62,6605.04,7744.14,6948.88,4581.03,7740.92,7937.33,7200.34,4557.77,7923.08,7554.77,7464.5,5058.57,8524.48,8937.7,9382.81,6597.94,10279.55,9754.91,8684.51,7584.44,9460.58,10551.05,9378.63,7530.28,10442.16,11699.47,9293.56,8133.53,10136.12,12538.15,9909.06,8759.25,11057.43,12785.5,10668.86,9358.98,11691.32,13293.3,11464.72,9254.22,11630.54,13086.19,7430.1,7330.17,9413.25,11521.68,10107.66,7149.91,11765.16,15847.47,10906.78,5380.97,7599.6,11938.96,10240.55,5368.07,7326.45,7541.75,5052.99,5434.73,7915.18,4294.27,..,..,..
All species,....Ifugao,43477,22941,23770,42701,38298,15374,15724,42874,44710,17928,16813,48069,40795,16609,16858,45605,45761.49,21814.8,24174.15,46578.9,47666.68,24404.34,25110.37,50591.58,51165.53,26269.02,27887.11,53307.38,56639.73,28914.89,26637.13,52951.3,26874.78,17396.66,23309.81,46939.16,41681.28,25561.82,24440.83,39170.94,42448.15,28802.79,29894.71,44923.82,44220.67,28493.26,31148.96,46014.38,46259.11,29097.79,33456.64,50682.12,56376.99,30612.83,30742.54,49450.39,59564.9,34477.81,39021.52,68047.26,65047.53,44598.28,40329.19,72124.01,72379.32,51737.91,42280.86,71666.57,72449.93,27569.16,39114.45,75292.67,53730.05,36839.93,40134.81,61052.42,66277.79,..,..,..
All species,....Kalinga,3345,5040,4387,4740,2953,5139,4471,4740,3327.57,5888.06,5495,5968,4713.96,6128.17,6430,6448.39,6836.71,9564.36,6821.86,8389.75,8462.84,10375.98,7038.76,8789.63,10517.37,11705.03,8015.37,9722.34,10846.98,13025.34,8798.96,9565.62,11535.58,12508.77,8613.21,10156.1,12928.21,14429.95,9211.6,10784.06,13356.06,15759.35,10016.49,11278.97,13724.38,15851.94,10478.92,12264.09,13874.63,17065.65,11458.26,13411.74,13689.93,17173.38,10759.1,12009.36,11808.91,17334.82,11478.56,13080.52,12875.11,14975.75,9199.87,12750.38,12420.49,13020.76,10496.12,11956.17,14777.95,16242.01,10602.62,13139.38,13240.22,20192.21,12531.33,14785.75,5856.63,..,..,..
All species,....Mountain Province,430,156,146,205,221,159,280,362,502.56,405.39,371.61,334.75,513.48,492.99,416.5,435.61,505.97,580.44,422.21,394.35,557.65,681.01,517.64,474.31,573.24,703.85,682.82,563.93,583.66,756.58,678.14,593.04,596.67,706.11,586.39,543.53,694.53,718.82,1246.91,637.21,626.04,677.61,815.47,690.23,583.16,755.05,796.45,673.53,611.13,709.72,822.78,717.96,699.51,782.53,783.81,711.77,610.73,945.09,812.52,668.83,372.2,940.06,683.94,675.7,342.82,624.86,525.9,496.8,384.7,621.56,702.33,743.51,567.96,940.42,873.58,957.16,429.51,..,..,..
All species,..Region I (Ilocos Region),870438,1014021,915661,1399786,916400,1100972,980638,1692181,1241984.15,1412475.12,1191336.29,2219431.19,1465445.28,1731175.54,1486439.43,2535487.39,1762048.89,2285752.53,1832690.96,3163728.09,1930262.6,2257919.35,1887444.96,3639134.21,2250451.59,2280135.42,2059058.97,5212901.91,2716793.87,2300206.81,1723934.56,4332684.34,2657876.8,2805232.25,1869255.92,3669993.21,2664666.48,2717808.3,1827266.79,5620592.35,2632275.84,3354949.12,2004364.91,6232901.95,2964833.34,3632949.06,2000282.83,5729860.71,3149668.4,4080818.39,2514714.42,7514801.63,3214421.87,3860533.18,2565559.07,6386268.26,3241552.65,3626061.23,2328181.42,6585622.47,3080889.86,4157031.49,2462401.88,6787108.92,3475014.89,3417331.01,2661590.2,7564214.48,3833535.92,3890365.95,2968593.42,8834555.35,4118390.66,3921338.04,3198201.41,9511202.71,4390069.7,..,..,..
