Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4
All species,Philippines,812911.63,886413.05,774691.25,895508.07,816457.36,935893.6,810925.78,1056005.71,974016.08,991203.52,852378.25,1108575.55,1024883.1,1039822.49,902501.5,1194662.74,1075434.9,1156724.95,941199.26,1235113.17,1168444.59,1229337.43,1034449.16,1279021.25,1209997.83,1252913.14,1082663.43,1421314.78,1256220.63,1320484.36,1075885.57,1427386.42,1249509.7,1309511.39,1122656.95,1477780.65,1216841.24,1283967.5,1053975.09,1418803.92,1168543.88,1249578.4,1051391.29,1395618.72,1160137.18,1258780.71,1055087.68,1231407.74,1117655.27,1231295.1,1039457.2,1300677.13,1090635.13,1227319.84,1050569.22,1280788.43,1021023.23,1116055.81,1010678.39,1208034.99,1036443.67,1104195.61,973269.43,1198180.79,1005325.09,1134749.07,972709.33,1244091.28,1013041.13,1141646.29,987741.48,1272572.77,986408.32,1177213.07,1016464.89,1220286.73,978618.46,..,..,..
All species,..National Capital Region (NCR),40098,57649,38350,31946,36559,57239.1,35512.7,29704.5,37170.5,49432.7,33402.89,27205.84,28059.58,45684.27,29530.37,23604.45,17089.24,27164.34,18612.93,18120.3,22031.49,30118.46,22275.99,16336.14,16060.93,29617.19,21300.82,17848.85,20112.2,16158.42,16840.31,15612.58,20751.91,28038.99,26417.54,18357.04,16597.81,30139.16,18331.99,14945.68,20485.49,25885.17,19294.48,20541.89,30724.13,44847.1,29146.44,19218.57,31847.76,48149.88,27998.82,19761,26153.93,38736.88,26215.26,16028.51,23859.93,53937.5,31321.31,16784.02,16798.41,32937.94,17342.1,19850.09,17582.52,34925.37,21911.4,29463.58,25927.66,31951.18,21007.21,19528.68,24270.04,44058.96,28741.2,7562.21,23386.21,..,..,..
All species,..Cordillera Administrative Region (CAR),1100,646,646.3,1123.7,994.2,581.2,560.8,955.65,941.95,567.19,523.94,934.95,915.9,552.92,544.3,973.68,1116.14,720.97,643.9,1062.21,1179.8,816.48,696.38,1188.54,1233.77,871.93,798.51,1225.73,1274.29,907.79,812.26,1234.39,1050.35,740.42,706.67,1036.77,1061.47,851.82,773.86,972.46,1069.86,875.11,825.27,1007.42,1106.01,906.19,850.75,1044.46,1117.73,934.19,875.05,1049.75,1193.81,908.34,790.46,974.1,1229.34,958.76,841.19,1172.92,1168.34,985.69,809.86,1184.12,1312.31,1106.98,819.35,1180.16,1309.19,856.1,805.64,1206.03,962.93,852.36,835.63,1050.7,882.59,..,..,..
All species,....Abra,113,92,82,93,112,94.9,85.5,74.45,122,101.7,86.14,88.88,120.5,120.83,87.55,96.3,137.92,141.73,98.52,117.58,145.25,172.59,114.17,196.88,159.5,193.8,162.33,202.03,165.32,203.51,170.79,204.95,154.54,202.73,172.98,209.39,168.43,206.28,169.91,205.45,178.01,207.78,186.15,217.45,182.94,210.19,170.55,219.27,181.31,213.73,171.44,207.93,175.82,198.31,175.27,193.35,173.74,210.96,152.01,182.58,155.85,162.81,133.58,150.61,170.54,163.37,125.07,160.67,133.25,172.15,129.43,168.15,143.19,189.16,152.7,186.99,114.32,..,..,..
All species,....Apayao,54,32,43,57,40.3,36.4,52.2,55,44.79,37.89,31.47,41.65,53.58,34.3,49.82,52.08,102.17,51.86,54.13,55.1,113.08,62.42,60.55,51.11,103.4,63.51,73.65,56.82,110.87,65.11,74.48,54.58,113.19,53.9,64.69,50.11,113.47,55.06,66.27,52.37,118.78,58.25,77.47,59.6,136.26,77.91,103.52,74.45,138.49,81.9,105.39,75.2,121.38,66.05,104.03,80.01,102.58,98.16,97.42,59.98,55.54,58.9,81.91,52.52,35.77,126.35,88.45,63.46,38.2,99.59,109.77,76.21,64,43.68,93.44,39.94,4.42,..,..,..
All species,....Benguet,61,77,73,83,70.4,80.3,77.6,75,62.41,83.06,51.49,78.5,65.14,71.11,55.63,85.86,95.22,84.73,58.06,93.06,99,94.68,63.66,102.63,102.78,97.62,66.69,107.98,108.62,99.23,74.15,114.43,113.56,88.92,77.85,108.71,120.23,94.96,82.09,110.4,124.82,97.42,84.88,105.29,127.59,100.4,88.03,110.89,130.1,107.69,94.13,113.91,133.79,114.75,92.5,113.1,138.67,78.7,77.19,99.18,121.9,108.16,72.55,121.46,159.41,109.83,56.51,83.35,122.01,102.31,54.85,73.2,69.58,53.44,53.12,74.5,40.01,..,..,..
All species,....Ifugao,822,375,382.3,820.7,724,294.6,275.1,675.26,654.66,261.15,275.62,646,608,242.25,266.39,654.3,688.55,319.06,346.36,689.42,710.9,352.36,368.18,728.67,739.65,373.57,397.89,745.05,760.04,387.71,389.63,749.55,533.57,249.84,292.1,559.41,518.54,345.87,353.4,492.15,514.11,355.47,373.92,510.59,522.54,364.45,384.33,520.65,532.74,367.42,395.11,529.45,631.36,372.38,319.44,480.69,702.99,407.09,411.19,721.46,717.74,519.06,437.78,750.4,834.3,590.86,455.86,776.48,886.24,317.34,408.61,764.83,557.23,377.61,413.65,611.87,666.71,..,..,..
All species,....Kalinga,44,68,64,67,44.5,73,66.5,70.99,52.1,79,75,76,63.22,79.25,80.5,80.67,86.87,117.49,82.13,102.78,105.7,127.32,84.45,104.53,122.58,136.54,91.66,108.47,123.68,144.84,96.53,105.36,130.07,138.46,93.55,103.87,134.39,143.19,95.18,106.88,128.63,150.31,96.3,108.82,131.71,146.97,97.75,113.71,130.02,157.62,102.27,117.6,126.1,150.91,93.64,101.88,107.33,156.75,97.46,105.21,114.75,130.27,79.19,104.68,109.68,112.08,89.86,93.02,126.91,160.55,98.86,119.12,125.73,182.92,117.69,131.79,54.46,..,..,..
All species,....Mountain Province,6,2,2,3,3,2,3.9,4.95,5.99,4.39,4.22,3.92,5.46,5.18,4.41,4.47,5.41,6.1,4.7,4.27,5.87,7.11,5.36,4.72,5.86,6.91,6.3,5.36,5.76,7.38,6.68,5.51,5.43,6.57,5.5,5.27,6.41,6.46,6.99,5.21,5.5,5.87,6.55,5.67,4.97,6.27,6.57,5.5,5.06,5.83,6.69,5.66,5.36,5.94,5.59,5.07,4.04,7.1,5.91,4.52,2.55,6.48,4.86,4.44,2.6,4.48,3.6,3.18,2.58,4.16,4.13,4.52,3.2,5.55,5.04,5.62,2.67,..,..,..
All species,..Region I (Ilocos Region),14632.07,18975.51,15405.5,24355.99,15788.45,20193.1,15956,27994.81,18052.39,22172.14,16807.72,33218.98,20480.19,25562.58,21111.1,39077.61,24885.11,32588.81,24997.28,45679.36,27256.98,35760.48,26920.09,56817.29,30927.32,36684.12,24666.5,57093.34,32899.41,34255.66,21562.88,48973.95,29995.22,37919.11,22836.4,46757.9,31786.47,35113.15,22091.15,61274.15,28101.68,35139.42,20687.58,61615.69,30697.62,38916.31,22807.96,63248.53,31662.97,45351.15,25243.98,71938.32,31479.25,42465.8,25444.29,62502.35,30309.74,39734.9,24599.07,62631.01,28630.38,44479.33,24799.51,63427.64,30020.66,36803.92,23364.71,64988.97,34299.33,38172.76,25252.93,71943.64,35714,35946.62,27995.94,80026.79,35523.54,..,..,..
